Aktie,Wert,Anzahl
Protektor Forsikring,,
VW,,
Lanxess,,
AXA,,
Lufthansa,,
SANTANDER,,
Atos SE,,
Seagate,,
Danone,,
Hornbach,,
Prosieben Sat1,,
